Athlete: 
Direction: true
Speed: 0
Rope Length: 0
Distance,Deviation,Time Offset
-59.262,-0.078,0.0
-57.826,-0.072,0.1
-56.391,-0.085,0.2
-54.958,-0.105,0.3
-53.519,-0.123,0.4
-52.079,-0.137,0.5
-50.634,-0.151,0.6
-49.187,-0.164,0.7
-47.733,-0.169,0.8
-46.277,-0.174,0.9
-44.815,-0.172,1.0
-43.351,-0.172,1.1
-41.884,-0.165,1.2
-40.415,-0.158,1.3
-38.947,-0.151,1.4
-37.472,-0.146,1.5
-35.996,-0.137,1.6
-34.521,-0.128,1.7
-33.044,-0.121,1.8
-31.567,-0.116,1.9
-30.088,-0.110,2.0
-28.611,-0.104,2.1
-27.130,-0.097,2.2
-25.654,-0.090,2.3
-24.177,-0.083,2.4
-22.701,-0.076,2.5
-21.223,-0.069,2.6
-19.744,-0.062,2.7
-18.268,-0.056,2.8
-16.792,-0.049,2.9
-15.320,-0.043,3.0
-13.850,-0.038,3.1
-12.378,-0.031,3.2
-10.907,-0.021,3.3
-9.436,-0.012,3.4
-7.966,0.000,3.5
-6.495,0.011,3.6
-5.028,0.021,3.7
-3.562,0.030,3.8
-2.100,0.032,3.9
-0.643,0.035,4.0
0.808,0.033,4.1
2.257,0.025,4.2
3.694,0.015,4.3
5.125,0.002,4.4
6.547,-0.011,4.5
7.965,-0.022,4.6
9.385,-0.029,4.7
10.801,-0.032,4.8
12.213,-0.035,4.9
13.627,-0.027,5.0
15.043,-0.015,5.1
16.466,0.000,5.2
17.891,0.013,5.3
19.325,0.028,5.4
20.765,0.045,5.5
22.208,0.058,5.6
23.661,0.074,5.7
25.117,0.084,5.8
26.578,0.097,5.9
28.047,0.107,6.0
29.514,0.116,6.1
30.989,0.124,6.2
32.463,0.127,6.3
33.942,0.133,6.4
35.424,0.135,6.5
36.902,0.133,6.6
38.383,0.129,6.7
39.866,0.122,6.8
41.344,0.116,6.9
42.818,0.112,7.0
44.288,0.109,7.1
45.751,0.111,7.2
47.200,0.112,7.3
48.649,0.122,7.4
50.084,0.127,7.5
51.517,0.130,7.6
52.945,0.133,7.7
54.368,0.136,7.8
55.794,0.136,7.9
57.217,0.132,8.0
58.644,0.127,8.1
60.071,0.120,8.2
61.506,0.112,8.3
62.951,0.108,8.4
64.398,0.103,8.5
65.853,0.100,8.6
67.310,0.098,8.7
68.772,0.098,8.8
70.236,0.097,8.9
71.706,0.099,9.0
73.179,0.099,9.1
74.652,0.095,9.2
76.126,0.090,9.3
77.609,0.089,9.4
79.090,0.085,9.5
80.572,0.084,9.6
82.055,0.079,9.7
83.534,0.076,9.8
85.010,0.067,9.9
86.477,0.054,10.0
87.933,0.040,10.1
89.383,0.024,10.2
90.826,0.012,10.3
92.268,0.001,10.4
93.704,-0.003,10.5
95.142,-0.005,10.6
96.574,-0.005,10.7
98.007,0.006,10.8
99.434,0.015,10.9
100.863,0.031,11.0
102.293,0.048,11.1
103.726,0.062,11.2
105.167,0.079,11.3
106.613,0.091,11.4
108.064,0.102,11.5
